Iteration,Runtime(ns)
0,22986900
1,5996800
2,395843200
3,25963900
4,16990100
5,17004600
6,15990800
7,17975500
8,51970600
9,61963700
10,53969300
11,51995800
12,64962100
13,50974100
14,54003800
15,61948300
16,50994700
17,61992600
18,52965300
19,61191600
20,52993700
21,78151000
22,44981500
23,46988100
24,52971300
25,63994100
26,52939100
27,74870800
28,42321400
29,49976600
30,77155400
31,28987000
32,58032200
33,76078200
34,35085500
35,52189400
36,75957300
37,35198400
38,52938200
39,72241900
40,33277600
41,52294900
42,84621300
43,35096600
44,53384700
45,74307200
46,31981600
47,54188100
48,80160300
49,36987500
50,52072300
51,73074600
52,38263000
53,55236400
54,79071400
55,37065400
56,46552800
57,80971200
58,35123700
59,53179400
60,77141400
61,31992300
62,60676100
63,74176100
64,37985900
65,52224000
66,79260400
67,39002900
68,52980200
69,77963400
70,36939000
71,51137400
72,75021900
73,42110500
74,52262700
75,74036100
76,42994600
77,51420100
78,73427800
79,44553700
80,52286500
81,72962700
82,44156200
83,52296300
84,78014200
85,39065000
86,53082800
87,77054600
88,41101900
89,52201100
90,75101700
91,40128700
92,52204800
93,77115700
94,39330000
95,53076300
96,75345700
97,37977000
98,53999100
99,75931700
100,39208200
101,52635400
102,77072300
103,37060800
104,52333100
105,77139500
106,38234600
107,53181300
108,76023500
109,36979200
110,53181700
111,77180100
112,36984200
113,52340600
114,78073500
115,36115600
116,54056500
117,75955900
118,36978200
119,51342700
120,75393700
121,39003900
122,52114300
123,75378800
124,39950500
125,53398700
126,74931900
127,39815100
128,55647800
129,78086100
130,37546000
131,52789400
132,79715700
133,38100600
134,53801800
135,79100300
136,37952300
137,51974900
138,77976400
139,40112800
140,53203700
141,78069300
142,40089500
143,53968300
144,78073500
145,41073000
146,54312600
147,76596900
148,40208400
149,54204000
150,77197800
151,42199600
152,54492200
153,78278800
154,41989200
155,54263200
156,77032600
157,38098300
158,54308000
159,77407300
160,39183500
161,54163300
162,76636600
163,40946500
164,53209200
165,81206800
166,39974700
167,52210400
168,84158500
169,35222100
170,54413000
171,76951500
172,39094300
173,53184100
174,76757400
175,39120500
176,52858500
177,78072500
178,37124200
179,52940100
180,79069100
181,36978600
182,53039500
183,77925600
184,37334200
185,54410500
186,79080800
187,36217300
188,54056500
189,76301600
190,38064700
191,54318700
192,75411500
193,38977700
194,52083500
195,76957600
196,38149600
197,53149100
198,76426200
199,37053800
200,52980200
201,75456200
202,36956700
203,52962500
204,79304200
205,35076200
206,52026600
207,78067900
208,35001500
209,53086100
210,77189000
211,37982100
212,51035700
213,76194800
214,37316400
215,54154500
216,77745500
217,36952100
218,54285100
219,73228100
220,39976600
221,52177300
222,76533000
223,37001100
224,53432200
225,77603300
226,36979100
227,52297200
228,75956800
229,36972600
230,53091300
231,75500100
232,38091800
233,53414500
234,74987000
235,38948300
236,52300500
237,76095800
238,37957000
239,53226100
240,77931700
241,37231500
242,51940700
243,76955700
244,40006900
245,51062800
246,77097100
247,39094300
248,52504800
