Iteration,Runtime(ns)
0,24990400
1,3997700
2,288880600
3,24988100
4,14996100
5,16993000
6,16993900
7,16107800
8,16945500
9,15997700
10,17033100
11,16997800
12,15993000
13,15992900
14,17036400
15,16991600
16,15994100
17,16991300
18,16992100
19,15994500
20,15994700
21,16992700
22,17021700
23,16992700
24,16139600
25,16160300
26,15993200
27,16991000
28,16992200
29,15991400
30,16992800
31,15992900
32,16992500
33,16992700
34,16992200
35,14994000
36,16992200
37,16993600
38,16991200
39,15993000
40,15993000
41,16992700
42,16995400
43,15992900
44,16992500
45,15991500
46,16993300
47,15994100
48,16989800
49,16994500
50,15993000
51,16992100
52,17044700
53,15993200
54,16992500
55,15992900
56,17027900
57,15992700
58,16993000
59,15992900
60,16991900
61,17029900
62,15993000
63,16991800
64,15993900
65,16992100
66,15992100
67,17029900
68,16014500
69,16994500
70,17009900
71,15989100
72,17012500
73,16016200
74,16008600
75,16992500
76,17023400
77,16992500
78,16011800
79,16189200
80,16905100
81,15993200
82,17017600
83,17027200
84,16991300
85,16033700
86,15995000
87,16992100
88,16992200
89,15992900
90,16992500
91,16992700
92,16027200
93,17018700
94,15991200
95,16989800
96,15997600
97,16990400
98,16435900
99,16994500
100,15993000
101,16990300
102,15995100
103,16990300
104,16077400
105,16992400
106,17025500
107,15993000
108,17032900
109,15995300
110,17168000
111,15993800
112,16993700
113,16051300
114,16991000
115,16993900
116,16091200
117,16992200
118,15993200
119,16110200
120,16994200
121,17015400
122,15992400
123,16998900
124,15986500
125,16027800
126,16992400
127,16992200
128,15992900
129,16992400
130,17018500
131,16032500
132,16994200
133,15988500
134,17019900
135,16014200
136,17149700
137,15993000
138,17011000
139,17070100
140,15991100
141,17139100
142,15997700
143,16992800
144,15992900
145,17084800
146,16017800
147,16994200
148,16989500
149,15994400
150,15991200
151,17015400
152,15990000
153,16995400
154,16992500
155,15990300
156,15995600
157,16992700
158,17147700
159,15992100
160,16993000
161,16992700
162,15994200
163,16991500
164,15994700
165,16991300
166,16991600
167,15995000
168,16994500
169,16009200
170,15992600
171,16999600
172,15986100
173,18025300
174,15995000
175,16990700
176,15993200
177,16991000
178,15991200
179,15995900
180,16991800
181,16991300
182,16993300
183,15995900
184,16990700
185,16993000
186,14994700
187,16991000
188,16992100
189,17021400
190,15964000
191,17028200
192,16999200
193,15984100
194,15993500
195,16990700
196,17062400
197,15992300
198,16992800
199,16028100
200,16990300
201,15995300
202,16990400
203,17011900
204,16003000
205,16988300
206,16029900
207,17014800
208,15993000
209,16013900
210,17992200
211,16026000
212,16992800
213,15991500
214,16993300
215,15993500
216,16990700
217,15994400
218,16992200
219,16992700
220,16030700
221,17011700
222,15995000
223,16990700
224,15993200
225,16994200
226,16989500
227,15993800
228,17058900
229,16926300
230,14993800
231,16990100
232,16994500
233,17088600
234,15992100
235,17012500
236,16051100
237,17032900
238,15991400
239,16992500
240,15990000
241,17029000
242,15992400
243,16994500
244,17022800
245,15992400
246,16990400
247,15995000
248,16992700
249,15994700
250,16990700
251,17016100
252,15998500
253,16988300
254,16021000
255,16966500
256,16990400
257,16180300
258,15991500
259,16993300
260,16019500
261,16991600
262,17143800
263,15993000
264,15992900
265,17030000
266,16992400
267,15994400
268,17019300
269,16992500
270,15993200
271,16992200
272,16028300
273,16994500
274,16118700
275,16996600
276,15991500
277,17164100
278,16056700
279,16030200
280,16990300
281,17018800
282,16990600
283,16016000
284,17018700
285,15994400
286,16177400
287,16992500
288,15992900
289,17017500
290,17022000
291,16990100
292,15995900
293,16019200
294,16995400
295,16988900
296,16026300
297,16994200
298,16990700
299,16021600
300,16983800
301,16018700
302,17144700
303,14992000
304,17024300
305,16988300
306,16990100
307,17016000
308,15993300
309,15991500
310,16993600
311,16018600
312,16993900
313,17033500
314,16012100
315,17013400
316,17056800
317,14994300
318,16992500
319,17057300
320,16988100
321,15992600
322,17129700
323,16012400
324,15993300
325,17000100
326,16038400
327,16991800
328,17038500
329,15944600
330,17095700
331,17025500
332,16026000
333,15991800
334,17023100
335,16992100
336,16140000
337,16997400
338,16016600
339,17016000
340,15990000
341,16993600
342,15993000
343,16991300
344,16993300
345,15993200
346,16991300
347,15993000
348,16992700
349,15993800
350,16991600
351,15992700
352,16992700
353,17040500
354,15994500
355,16993600
356,15992900
357,16991900
358,16408700
359,16992800
360,15991700
361,16993400
362,16028300
363,16991600
364,16108900
365,16939900
366,15993600
367,16994200
368,17052000
369,16998100
370,16013000
371,17017500
372,14993500
373,18061900
374,15992900
375,15998900
376,17007200
377,16992400
378,15992100
379,17066200
380,16965600
381,14995200
382,17987500
383,16052900
384,17046700
385,16958500
386,16020100
387,15991800
388,17114600
389,16011900
390,16992400
391,16992500
392,15992900
393,16994500
394,16019200
395,17020200
396,16994500
397,15991200
398,16015400
399,16995400
400,16989500
401,16017400
402,17129700
403,16019200
404,15993000
405,17991900
406,16029800
407,16041100
408,16989500
409,16993600
410,16016300
411,16997100
412,15635300
413,16992200
414,17155000
415,16158200
416,15990900
417,16997200
418,16988000
419,15992900
420,16994600
421,16015300
422,16992500
423,16994500
424,16300700
425,16043700
426,16991600
427,15993800
428,17032300
429,16989200
430,16096000
431,17026000
432,16125800
433,15997400
434,16993900
435,16991200
436,15993600
437,16017400
438,16991600
439,16993900
440,17020500
441,15995900
442,16987400
443,15995300
444,15991500
445,17029300
446,17027000
447,16994500
448,16016600
449,16992400
450,15993000
451,16992400
452,17038500
453,15994400
454,16990700
455,15993000
456,15994700
457,16990600
458,16069400
459,16914600
460,17057000
461,15996200
462,16993700
463,16989400
464,16170900
465,16994300
466,15991400
467,17120600
468,15990000
469,16995600
470,15993000
471,16991600
472,17012800
473,14997900
474,16993900
475,17018700
476,16993600
477,15994100
478,17017000
479,15995000
480,15989700
481,17993100
482,15990600
483,15993300
484,17018100
485,17026300
486,15991800
487,17050300
488,15992700
489,16989700
490,16122300
491,16991200
492,15995300
493,17027000
494,16991000
495,15992300
496,16994200
497,16389300
498,16124600
499,16992700
500,17142700
501,15994400
502,16989500
503,16252300
504,15990300
505,16995100
506,16992500
507,15992900
508,16295700
509,17176600
510,15995000
511,17143900
512,16142500
513,16994200
514,16990700
515,15993300
516,16994200
517,15991200
518,17026900
519,15991800
520,16993900
521,16007400
522,15995100
523,16990600
524,16992500
525,15991700
526,16995700
527,16988300
528,16996600
529,15991200
530,16992400
531,15994800
532,16990900
533,15992700
534,16994500
535,15990300
536,16993300
537,16994200
538,15991200
539,17130300
540,16993600
541,16026900
542,15992700
543,16994200
544,16990900
545,15993000
546,16994200
547,15991200
548,17013400
549,16018600
550,17004500
551,15990000
552,17116400
553,16050800
554,17038500
555,15994700
556,16990700
557,15993000
558,16991200
559,16992800
560,15993800
561,16997200
562,16144600
563,16994500
564,16989800
565,16033100
566,17026600
567,15993300
568,17022200
569,16194500
570,15993000
571,17016900
572,16016900
573,17012500
574,17135000
575,15951900
576,16991900
577,16993300
578,15990600
579,15995300
580,17047600
581,17036400
582,15994800
583,16990600
584,15993000
585,16994500
586,16991000
587,15992300
588,15991500
589,17020200
590,16992400
591,15995000
592,16027800
593,16991600
594,16993300
595,16027200
596,16993600
597,16991600
598,16995400
599,16031600
600,16997700
601,15993000
602,16112200
603,17067100
604,16970600
605,16028300
606,16991000
607,16093300
608,17020800
609,16000600
610,16990400
611,16019200
612,16994500
613,16990400
614,16144000
615,15992100
616,16993300
617,16056100
618,17010400
619,17081900
620,15993300
621,16994200
622,16013000
623,16992400
624,16012800
625,16998300
626,16992700
627,15992700
628,17014600
629,16074100
630,15991800
631,17048200
632,16998000
633,15995900
634,16989500
635,16992500
636,15991700
637,17027900
638,16018900
639,16991900
640,17049900
641,16078900
642,15943300
643,16992200
644,16992400
645,16005700
646,16998000
647,16135200
648,15894100
649,16993100
650,17099800
651,15957800
652,16993100
653,15992000
654,16993100
655,15993500
656,16992800
657,16991800
658,16991900
659,15992900
660,16992800
661,15992600
662,16992500
663,15996500
664,16990600
665,16993100
666,15992300
667,15992100
668,17067100
669,15994700
670,17036400
671,17190200
672,15997100
673,16989800
674,16021200
675,16990700
676,16014200
677,16991900
678,17026900
679,15974100
680,17086000
681,15930700
682,16990700
683,15993500
684,17027600
685,17108100
686,16044000
687,16998300
688,15992100
689,17036100
690,15998300
691,17013100
692,17020200
693,15992600
694,16028400
695,17176600
696,16997400
697,16103900
698,16021600
699,16995100
700,16047000
701,17012800
702,16994200
703,15991200
704,17027500
705,15995000
706,16990700
707,17074800
708,16000300
709,16022500
710,17018700
711,17027300
712,16019200
713,17050500
714,15992700
715,16992700
716,16057900
717,15993000
718,16989500
719,16993300
720,16994500
721,15991200
722,16992400
723,15994800
724,16990900
725,16028400
726,16991500
727,17017300
728,15993800
729,16990100
730,16019800
731,17043200
732,15995000
733,17008700
734,15992700
735,16997100
736,17178400
737,15990900
738,16996800
739,16042600
740,17201900
741,16084500
742,17045500
743,16013900
744,15990600
745,17121700
746,15990300
747,17014300
748,17016900
749,16065300
750,15989700
751,17048800
752,17018400
753,17013100
754,16175300
755,16188600
756,15992100
757,16774400
758,17030500
759,15995000
760,17992500
761,16025100
762,15994800
763,17026900
764,17094000
765,15996800
766,17076200
767,16143800
768,15992600
769,16798000
770,16991300
771,15992300
772,17025200
773,16025400
774,16010100
775,16975300
776,17027900
777,15992600
778,17019600
779,17033200
780,16003600
781,16992700
782,15990300
783,16995400
784,17064200
785,15991100
786,15990600
787,17019300
788,16992200
789,15992300
790,17018500
791,15992900
792,16994500
793,17018700
794,16045200
795,16125500
796,17060300
797,17064400
798,16995700
799,16003300
800,15992900
801,16018700
802,16988300
803,16992400
804,16994200
805,16400800
806,16016900
807,16017700
808,17034100
809,17051100
810,16157600
811,17214100
812,15990900
813,17146200
814,16899200
815,16014500
816,15991200
817,16991800
818,17027900
819,15959300
820,16993300
821,16202200
822,16911300
823,16992700
824,16099500
825,16912500
826,15994100
827,17170400
828,15996200
829,17066800
830,16020100
831,15998600
832,17176200
833,17027300
834,15993800
835,17010800
836,15992600
837,16012200
838,16992400
839,17047600
840,15993000
841,17015800
842,16990000
843,15992700
844,17010700
845,16031900
846,15993000
847,17013700
848,16993900
849,15990000
850,17026100
851,15988200
852,16989500
853,16994500
854,15993900
855,16994800
856,16990600
857,16044900
858,16993100
859,15994400
860,17017800
861,16994500
862,15990900
863,16022200
864,16992400
865,15993300
866,16992100
867,16994500
868,15992100
869,17017500
870,17015800
871,16096800
872,15998900
873,15992600
874,17042600
875,17013400
876,16991600
877,16038400
878,16992400
879,16992200
880,15992300
881,15994200
882,16994200
883,16093300
884,16997400
885,16992800
886,16037500
887,17183600
888,16013300
889,16145600
890,17058800
891,15997400
892,16993600
893,17114600
894,15994700
895,16988400
896,15995300
897,17021300
898,15964100
899,17052900
900,17015800
901,15992900
902,17077400
903,16120800
904,17069400
905,16018100
906,17036100
907,16031000
908,17017500
909,17030800
910,15993300
911,16023900
912,17053000
913,16932800
914,16065300
915,16992700
916,15993200
917,16991900
918,16992400
919,16026300
920,16992500
921,15992000
922,17020200
923,15993000
924,15990300
925,17019900
926,15996200
927,16989800
928,17146400
929,16015100
930,16991300
931,16146100
932,16992400
933,15994800
934,16990600
935,17028800
936,15999700
937,16983900
938,17126100
939,14997900
940,16993600
941,17091300
942,15892400
943,17020400
944,17017600
945,16994200
946,16026600
947,16131600
948,16990700
949,15992700
950,16992700
951,16994500
952,15990900
953,15992900
954,16989800
955,16995100
956,15993000
957,16992700
958,16992500
959,15992900
960,16992500
961,15992900
962,16992400
963,15993300
964,17015200
965,16163200
966,16993000
967,15994700
968,16991600
969,15991500
970,16994500
971,15992700
972,16993300
973,16990400
974,15992600
975,16993000
976,15993000
977,16992100
978,16992800
979,16018600
980,16993000
981,16995100
982,16025800
983,17135500
984,15994700
985,16993100
986,16036900
987,16944600
988,16994000
989,16049000
990,15943400
991,16986200
992,15993500
993,16989200
994,17048300
995,16077000
996,15994700
997,17031100
998,16989200
999,15993000
1000,17063800
1001,17018500
1002,15991400
1003,17063600
1004,15991200
1005,16093300
1006,17085700
1007,17039900
1008,15994700
1009,17234700
1010,16052900
1011,16745500
1012,17052300
1013,16011500
1014,16992500
1015,15992900
1016,17014600
1017,16016000
1018,17118700
