Iterations,Runtime(nanos)
0,3158700
1,18580200
2,430810600
3,112348400
4,124145800
5,102262100
6,118455200
7,113441100
8,111929500
9,113347100
10,111532600
11,114033500
12,112570100
13,115790800
14,114214900
15,114397900
16,115014900
17,116639200
18,117167700
19,117973300
20,119286700
21,119886900
22,121804200
23,119832000
24,121463100
25,343391700
26,333082100
27,328445100
28,7636400
29,142670100
30,8079400
31,114831400
32,124314600
33,123657600
34,118342400
35,118758600
36,118199600
37,121155200
38,116543200
39,116689400
40,113773800
41,112780800
42,113160900
43,112321300
44,110916400
45,113064600
46,111629300
47,110977700
48,111174700
49,109298100
50,110272300
51,110272700
52,111877200
53,110607100
54,111891700
55,221085000
Iterations,Runtime(nanos)
0,3174800
1,23780000
2,427683100
3,141486400
4,132904200
5,139403900
6,110205500
7,116763600
8,114396800
9,113841400
10,113754300
11,115578800
12,115495100
13,118165700
14,117931700
15,123160500
16,126560200
17,124419000
18,121850000
19,121882400
20,122574900
21,124576300
22,122547000
23,124479800
24,124379200
25,124648600
26,126464900
27,124031600
28,123241000
29,120270100
30,122109400
31,122608300
32,121433300
33,123865600
34,121962900
35,119330100
36,118652600
37,121649600
38,121298000
39,119348100
40,121373400
41,118473400
42,118292200
43,118565900
44,120787200
45,117023000
46,116028100
47,120099500
48,119778400
49,117863900
50,118490000
51,118998800
52,119221800
53,117239300
54,118331800
55,117349400
56,115709700
57,115677400
58,112373600
59,114765600
60,115291800
61,107115800
62,109687400
63,109790500
64,106563500
65,104243100
66,108732400
67,105496700
68,106307600
69,102775500
70,101041700
71,99003400
72,103614200
73,102662800
74,97117300
75,99589400
76,98788000
77,98984900
78,100584800
79,98103600
80,96418100
81,96321000
82,93903400
83,93646300
84,95806300
85,95111100
86,90380500
87,93771600
88,93991600
89,91731000
90,90235300
91,88777800
92,92956000
93,91349200
94,89441400
95,87902800
96,91575300
97,91266000
98,90119000
99,90063700
100,93199600
101,94031300
102,89249400
103,89519600
104,90877900
105,91429200
106,92558900
107,92871100
108,91927000
109,89909100
110,91159000
111,91286500
112,90599200
113,91410000
114,92413900
115,90541000
116,91459000
117,90746700
118,92476000
119,89800200
120,91222300
121,91046200
122,93848500
123,91701500
124,93304900
125,91720400
126,93791700
127,90415300
128,90880600
129,92534300
130,89451500
131,91247200
132,91658200
133,92097300
134,95515900
135,93937800
136,93555900
137,96393000
138,95923800
139,96937100
140,98172700
141,96072000
